Beach Name,Date,Measurement Timestamp,DNA Reading Mean,Ecoli Predicted Level,Latitude_ecoli,Longitude_ecoli,Location_ecoli,Nearest Weather Station,Air Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
12th Street,2017-06-11,06/11/2017 12:00:00 AM,305.8,153.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,26.0,47,0.0,0.0,35.2,0.0,228,6.4,10.6,989.1,0
57th Street,2017-06-11,06/11/2017 12:00:00 AM,111.3,88.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,26.0,47,0.0,0.0,35.2,0.0,228,6.4,10.6,989.1,0
Margaret T Burroughs (31st),2017-06-11,06/11/2017 12:00:00 AM,256.6,218.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,26.0,47,0.0,0.0,35.2,0.0,228,6.4,10.6,989.1,0
Oakwood,2017-06-11,06/11/2017 12:00:00 AM,71.1,63.3,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,26.0,47,0.0,0.0,35.2,0.0,228,6.4,10.6,989.1,0
12th Street,2017-06-12,06/12/2017 12:00:00 AM,201.1,183.6,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,27.6,49,0.0,0.0,35.2,0.0,211,2.6,6.0,992.2,0
57th Street,2017-06-12,06/12/2017 12:00:00 AM,130.7,122.8,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,27.6,49,0.0,0.0,35.2,0.0,211,2.6,6.0,992.2,0
Margaret T Burroughs (31st),2017-06-12,06/12/2017 12:00:00 AM,44.2,311.9,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,27.6,49,0.0,0.0,35.2,0.0,211,2.6,6.0,992.2,0
Oakwood,2017-06-12,06/12/2017 12:00:00 AM,54.9,119.4,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,27.6,49,0.0,0.0,35.2,0.0,211,2.6,6.0,992.2,0
12th Street,2017-06-13,06/13/2017 12:00:00 AM,119.4,416.9,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.9,80,0.0,0.0,35.2,0.0,36,1.3,2.2,992.4,0
57th Street,2017-06-13,06/13/2017 12:00:00 AM,2036.2,150.6,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.9,80,0.0,0.0,35.2,0.0,36,1.3,2.2,992.4,0
Margaret T Burroughs (31st),2017-06-13,06/13/2017 12:00:00 AM,510.6,385.4,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.9,80,0.0,0.0,35.2,0.0,36,1.3,2.2,992.4,0
Oakwood,2017-06-13,06/13/2017 12:00:00 AM,725.3,146.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.9,80,0.0,0.0,35.2,0.0,36,1.3,2.2,992.4,0
12th Street,2017-06-14,06/14/2017 12:00:00 AM,379.9,419.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,23.3,75,0.0,0.0,35.7,0.0,0,0.0,0.6,991.0,0
57th Street,2017-06-14,06/14/2017 12:00:00 AM,1359.6,156.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,23.3,75,0.0,0.0,35.7,0.0,0,0.0,0.6,991.0,0
Margaret T Burroughs (31st),2017-06-14,06/14/2017 12:00:00 AM,1034.6,436.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,23.3,75,0.0,0.0,35.7,0.0,0,0.0,0.6,991.0,0
Oakwood,2017-06-14,06/14/2017 12:00:00 AM,1345.2,128.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,23.3,75,0.0,0.0,35.7,0.0,0,0.0,0.6,991.0,0
12th Street,2017-06-15,06/15/2017 12:00:00 AM,190.7,86.5,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.2,89,0.0,0.0,62.2,0.0,202,2.0,4.3,989.0,0
57th Street,2017-06-15,06/15/2017 12:00:00 AM,29.8,59.1,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.2,89,0.0,0.0,62.2,0.0,202,2.0,4.3,989.0,0
Margaret T Burroughs (31st),2017-06-15,06/15/2017 12:00:00 AM,22.0,133.8,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.2,89,0.0,0.0,62.2,0.0,202,2.0,4.3,989.0,0
Oakwood,2017-06-15,06/15/2017 12:00:00 AM,24.9,77.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.2,89,0.0,0.0,62.2,0.0,202,2.0,4.3,989.0,0
12th Street,2017-06-16,06/16/2017 12:00:00 AM,78.7,76.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,25.8,64,0.0,0.0,62.3,0.0,227,1.7,2.9,987.3,0
57th Street,2017-06-16,06/16/2017 12:00:00 AM,5.3,45.4,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,25.8,64,0.0,0.0,62.3,0.0,227,1.7,2.9,987.3,0
Margaret T Burroughs (31st),2017-06-16,06/16/2017 12:00:00 AM,21.8,125.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,25.8,64,0.0,0.0,62.3,0.0,227,1.7,2.9,987.3,0
Oakwood,2017-06-16,06/16/2017 12:00:00 AM,6.5,47.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,25.8,64,0.0,0.0,62.3,0.0,227,1.7,2.9,987.3,0
12th Street,2017-06-17,06/17/2017 12:00:00 AM,325.5,56.6,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,25.0,72,0.0,0.0,72.1,0.0,205,2.0,4.2,983.7,0
57th Street,2017-06-17,06/17/2017 12:00:00 AM,152.2,40.9,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,25.0,72,0.0,0.0,72.1,0.0,205,2.0,4.2,983.7,0
Margaret T Burroughs (31st),2017-06-17,06/17/2017 12:00:00 AM,86.1,67.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,25.0,72,0.0,0.0,72.1,0.0,205,2.0,4.2,983.7,0
Oakwood,2017-06-17,06/17/2017 12:00:00 AM,719.9,37.8,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,25.0,72,0.0,0.0,72.1,0.0,205,2.0,4.2,983.7,0
12th Street,2017-06-18,06/18/2017 12:00:00 AM,106.7,171.5,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,23.9,95,0.0,0.1,74.5,0.0,245,4.3,8.1,980.1,0
57th Street,2017-06-18,06/18/2017 12:00:00 AM,29.0,79.1,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,23.9,95,0.0,0.1,74.5,0.0,245,4.3,8.1,980.1,0
Margaret T Burroughs (31st),2017-06-18,06/18/2017 12:00:00 AM,20.7,185.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,23.9,95,0.0,0.1,74.5,0.0,245,4.3,8.1,980.1,0
Oakwood,2017-06-18,06/18/2017 12:00:00 AM,4.2,67.8,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,23.9,95,0.0,0.1,74.5,0.0,245,4.3,8.1,980.1,0
12th Street,2017-06-19,06/19/2017 12:00:00 AM,316.6,312.1,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.5,55,0.0,0.0,74.5,0.0,288,2.4,4.0,986.3,0
57th Street,2017-06-19,06/19/2017 12:00:00 AM,277.8,148.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.5,55,0.0,0.0,74.5,0.0,288,2.4,4.0,986.3,0
Margaret T Burroughs (31st),2017-06-19,06/19/2017 12:00:00 AM,334.2,364.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,22.5,55,0.0,0.0,74.5,0.0,288,2.4,4.0,986.3,0
Oakwood,2017-06-19,06/19/2017 12:00:00 AM,282.5,145.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,22.5,55,0.0,0.0,74.5,0.0,288,2.4,4.0,986.3,0
12th Street,2017-06-20,06/20/2017 12:00:00 AM,6.0,307.9,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,17.6,76,0.0,0.0,82.0,0.0,273,2.8,3.9,991.4,1
57th Street,2017-06-20,06/20/2017 12:00:00 AM,245.3,123.4,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,17.6,76,0.0,0.0,82.0,0.0,273,2.8,3.9,991.4,1
Margaret T Burroughs (31st),2017-06-20,06/20/2017 12:00:00 AM,35.2,462.7,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,17.6,76,0.0,0.0,82.0,0.0,273,2.8,3.9,991.4,1
Oakwood,2017-06-20,06/20/2017 12:00:00 AM,55.0,68.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,17.6,76,0.0,0.0,82.0,0.0,273,2.8,3.9,991.4,1
12th Street,2017-06-21,06/21/2017 12:00:00 AM,996.5,175.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,17.2,96,0.0,0.0,82.8,0.0,113,0.3,0.5,992.9,1
57th Street,2017-06-21,06/21/2017 12:00:00 AM,278.4,128.8,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,17.2,96,0.0,0.0,82.8,0.0,113,0.3,0.5,992.9,1
Margaret T Burroughs (31st),2017-06-21,06/21/2017 12:00:00 AM,1733.0,246.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,17.2,96,0.0,0.0,82.8,0.0,113,0.3,0.5,992.9,1
Oakwood,2017-06-21,06/21/2017 12:00:00 AM,706.0,147.0,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,17.2,96,0.0,0.0,82.8,0.0,113,0.3,0.5,992.9,1
12th Street,2017-06-22,06/22/2017 12:00:00 AM,521.2,58.1,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.3,88,0.0,0.0,82.8,0.0,0,0.0,0.6,989.9,1
57th Street,2017-06-22,06/22/2017 12:00:00 AM,57.6,27.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.3,88,0.0,0.0,82.8,0.0,0,0.0,0.6,989.9,1
Margaret T Burroughs (31st),2017-06-22,06/22/2017 12:00:00 AM,284.0,65.0,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.3,88,0.0,0.0,82.8,0.0,0,0.0,0.6,989.9,1
Oakwood,2017-06-22,06/22/2017 12:00:00 AM,206.5,31.0,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.3,88,0.0,0.0,82.8,0.0,0,0.0,0.6,989.9,1
12th Street,2017-06-23,06/23/2017 12:00:00 AM,205.6,324.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,24.9,83,0.0,0.0,85.8,0.0,209,3.7,8.2,984.3,0
57th Street,2017-06-23,06/23/2017 12:00:00 AM,25.5,155.7,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,24.9,83,0.0,0.0,85.8,0.0,209,3.7,8.2,984.3,0
Margaret T Burroughs (31st),2017-06-23,06/23/2017 12:00:00 AM,988.7,330.4,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,24.9,83,0.0,0.0,85.8,0.0,209,3.7,8.2,984.3,0
Oakwood,2017-06-23,06/23/2017 12:00:00 AM,119.8,147.5,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,24.9,83,0.0,0.0,85.8,0.0,209,3.7,8.2,984.3,0
12th Street,2017-06-24,06/24/2017 12:00:00 AM,21.5,197.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.4,58,0.0,0.0,109.5,0.0,326,2.9,6.2,988.6,0
57th Street,2017-06-24,06/24/2017 12:00:00 AM,200.2,131.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.4,58,0.0,0.0,109.5,0.0,326,2.9,6.2,988.6,0
Margaret T Burroughs (31st),2017-06-24,06/24/2017 12:00:00 AM,422.6,304.6,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.4,58,0.0,0.0,109.5,0.0,326,2.9,6.2,988.6,0
Oakwood,2017-06-24,06/24/2017 12:00:00 AM,104.8,144.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.4,58,0.0,0.0,109.5,0.0,326,2.9,6.2,988.6,0
12th Street,2017-06-25,06/25/2017 12:00:00 AM,69.8,120.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,18.8,53,0.0,0.0,109.5,0.0,268,2.2,3.1,995.5,1
57th Street,2017-06-25,06/25/2017 12:00:00 AM,347.8,90.6,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,18.8,53,0.0,0.0,109.5,0.0,268,2.2,3.1,995.5,1
Margaret T Burroughs (31st),2017-06-25,06/25/2017 12:00:00 AM,321.6,114.3,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,18.8,53,0.0,0.0,109.5,0.0,268,2.2,3.1,995.5,1
Oakwood,2017-06-25,06/25/2017 12:00:00 AM,246.1,101.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,18.8,53,0.0,0.0,109.5,0.0,268,2.2,3.1,995.5,1
12th Street,2017-06-26,06/26/2017 12:00:00 AM,17.0,192.9,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,17.2,63,0.0,0.0,109.5,0.0,342,3.3,5.6,997.3,1
57th Street,2017-06-26,06/26/2017 12:00:00 AM,574.3,180.2,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,17.2,63,0.0,0.0,109.5,0.0,342,3.3,5.6,997.3,1
Margaret T Burroughs (31st),2017-06-26,06/26/2017 12:00:00 AM,71.1,290.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,17.2,63,0.0,0.0,109.5,0.0,342,3.3,5.6,997.3,1
Oakwood,2017-06-26,06/26/2017 12:00:00 AM,203.4,148.0,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,17.2,63,0.0,0.0,109.5,0.0,342,3.3,5.6,997.3,1
12th Street,2017-06-27,06/27/2017 12:00:00 AM,789.9,141.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,16.5,57,0.0,0.0,109.5,0.0,304,1.0,2.0,996.7,2
57th Street,2017-06-27,06/27/2017 12:00:00 AM,73.3,104.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,16.5,57,0.0,0.0,109.5,0.0,304,1.0,2.0,996.7,2
Margaret T Burroughs (31st),2017-06-27,06/27/2017 12:00:00 AM,255.1,197.3,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,16.5,57,0.0,0.0,109.5,0.0,304,1.0,2.0,996.7,2
Oakwood,2017-06-27,06/27/2017 12:00:00 AM,96.9,81.8,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,16.5,57,0.0,0.0,109.5,0.0,304,1.0,2.0,996.7,2
12th Street,2017-06-28,06/28/2017 12:00:00 AM,140.9,306.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,19.6,52,0.0,0.0,109.5,0.0,191,2.8,4.4,995.5,1
57th Street,2017-06-28,06/28/2017 12:00:00 AM,247.6,134.6,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,19.6,52,0.0,0.0,109.5,0.0,191,2.8,4.4,995.5,1
Margaret T Burroughs (31st),2017-06-28,06/28/2017 12:00:00 AM,668.6,420.4,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,19.6,52,0.0,0.0,109.5,0.0,191,2.8,4.4,995.5,1
Oakwood,2017-06-28,06/28/2017 12:00:00 AM,101.1,112.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,19.6,52,0.0,0.0,109.5,0.0,191,2.8,4.4,995.5,1
12th Street,2017-06-29,06/29/2017 12:00:00 AM,414.1,434.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.5,85,0.0,0.5,129.1,0.0,1,3.4,6.0,988.2,1
57th Street,2017-06-29,06/29/2017 12:00:00 AM,1787.1,212.4,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.5,85,0.0,0.5,129.1,0.0,1,3.4,6.0,988.2,1
Margaret T Burroughs (31st),2017-06-29,06/29/2017 12:00:00 AM,257.8,743.3,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.5,85,0.0,0.5,129.1,0.0,1,3.4,6.0,988.2,1
Oakwood,2017-06-29,06/29/2017 12:00:00 AM,229.4,163.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.5,85,0.0,0.5,129.1,0.0,1,3.4,6.0,988.2,1
12th Street,2017-06-30,06/30/2017 12:00:00 AM,128.5,81.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.8,98,0.0,0.0,139.3,0.0,232,2.5,4.4,989.2,0
57th Street,2017-06-30,06/30/2017 12:00:00 AM,41.5,35.6,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.8,98,0.0,0.0,139.3,0.0,232,2.5,4.4,989.2,0
Margaret T Burroughs (31st),2017-06-30,06/30/2017 12:00:00 AM,65.5,63.6,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.8,98,0.0,0.0,139.3,0.0,232,2.5,4.4,989.2,0
Oakwood,2017-06-30,06/30/2017 12:00:00 AM,18.4,25.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.8,98,0.0,0.0,139.3,0.0,232,2.5,4.4,989.2,0
12th Street,2017-07-01,07/01/2017 12:00:00 AM,50.2,124.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.5,88,0.0,0.0,139.9,0.0,328,0.5,0.9,987.9,0
57th Street,2017-07-01,07/01/2017 12:00:00 AM,39.9,68.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.5,88,0.0,0.0,139.9,0.0,328,0.5,0.9,987.9,0
Margaret T Burroughs (31st),2017-07-01,07/01/2017 12:00:00 AM,73.7,223.6,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.5,88,0.0,0.0,139.9,0.0,328,0.5,0.9,987.9,0
Oakwood,2017-07-01,07/01/2017 12:00:00 AM,138.6,53.8,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.5,88,0.0,0.0,139.9,0.0,328,0.5,0.9,987.9,0
12th Street,2017-07-02,07/02/2017 12:00:00 AM,30.6,92.5,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.6,57,0.0,0.0,139.9,0.0,291,1.6,3.2,994.2,0
57th Street,2017-07-02,07/02/2017 12:00:00 AM,134.0,65.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.6,57,0.0,0.0,139.9,0.0,291,1.6,3.2,994.2,0
Margaret T Burroughs (31st),2017-07-02,07/02/2017 12:00:00 AM,93.0,173.9,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,22.6,57,0.0,0.0,139.9,0.0,291,1.6,3.2,994.2,0
Oakwood,2017-07-02,07/02/2017 12:00:00 AM,150.1,36.3,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,22.6,57,0.0,0.0,139.9,0.0,291,1.6,3.2,994.2,0
12th Street,2017-07-03,07/03/2017 12:00:00 AM,78.5,469.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.7,77,0.0,0.0,139.9,0.0,269,1.3,2.8,994.2,0
57th Street,2017-07-03,07/03/2017 12:00:00 AM,126.6,173.6,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.7,77,0.0,0.0,139.9,0.0,269,1.3,2.8,994.2,0
Margaret T Burroughs (31st),2017-07-03,07/03/2017 12:00:00 AM,974.8,409.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,22.7,77,0.0,0.0,139.9,0.0,269,1.3,2.8,994.2,0
Oakwood,2017-07-03,07/03/2017 12:00:00 AM,164.8,150.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,22.7,77,0.0,0.0,139.9,0.0,269,1.3,2.8,994.2,0
12th Street,2017-07-04,07/04/2017 12:00:00 AM,79.7,217.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.1,81,0.0,0.0,139.9,0.0,60,1.1,2.3,995.8,1
57th Street,2017-07-04,07/04/2017 12:00:00 AM,296.3,152.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.1,81,0.0,0.0,139.9,0.0,60,1.1,2.3,995.8,1
